label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
rock,0.0,0.0,0.0,-0.12359282374382019,-0.28747984766960144,0.05480740964412689,-0.28577858209609985,-0.5308101177215576,0.03923417255282402,-0.47646820545196533,-0.6580328345298767,0.0013682167045772076,-0.630092203617096,-0.7263016104698181,-0.02283673919737339,-0.12446966022253036,-0.9109236001968384,0.0627107247710228,-0.5185369253158569,-0.8549299240112305,-0.01463797502219677,-0.5039045214653015,-0.6157634258270264,-0.06078619509935379,-0.40884003043174744,-0.5316610336303711,-0.08384726196527481,-0.1585717350244522,-0.88224858045578,-0.003335812361910939,-0.583676815032959,-0.7470464110374451,-0.07611512392759323,-0.5242628455162048,-0.5249300003051758,-0.08185809850692749,-0.41151538491249084,-0.4874228239059448,-0.07881957292556763,-0.2234126478433609,-0.7996205687522888,-0.07507011294364929,-0.6181327104568481,-0.6580979824066162,-0.13017092645168304,-0.5412597060203552,-0.43920376896858215,-0.09124176949262619,-0.42457371950149536,-0.41573742032051086,-0.06361452490091324,-0.30482038855552673,-0.680665135383606,-0.1470436006784439,-0.6055040955543518,-0.5598030090332031,-0.19382843375205994,-0.5477507710456848,-0.3795405328273773,-0.17664413154125214,-0.4436134994029999,-0.35027095675468445,-0.1544186919927597
paper,0.0,0.0,0.0,-0.13614782691001892,-0.013199497014284134,-0.0320623405277729,-0.26531288027763367,-0.08138757199048996,-0.0510757640004158,-0.3466529846191406,-0.11743029952049255,-0.07173670083284378,-0.3975871205329895,-0.13914291560649872,-0.09465308487415314,-0.23741070926189423,-0.443060040473938,-0.01659199595451355,-0.311922162771225,-0.6130154728889465,-0.04464820399880409,-0.35890665650367737,-0.714635968208313,-0.0736251249909401,-0.3949930667877197,-0.8058555126190186,-0.09778335690498352,-0.17687788605690002,-0.4923560619354248,-0.036074310541152954,-0.2285255640745163,-0.7085405588150024,-0.058841101825237274,-0.25782573223114014,-0.8439822196960449,-0.08390907198190689,-0.27633246779441833,-0.9552491903305054,-0.10554354637861252,-0.10817054659128189,-0.4973665177822113,-0.06401445716619492,-0.13081057369709015,-0.7128285765647888,-0.0920720025897026,-0.14504295587539673,-0.8479307889938354,-0.11797776818275452,-0.15776251256465912,-0.965942919254303,-0.13919635117053986,-0.03757170960307121,-0.4678250849246979,-0.09666351974010468,-0.037995073944330215,-0.6432941555976868,-0.12598243355751038,-0.03985092416405678,-0.7654958963394165,-0.14203666150569916,-0.04503163695335388,-0.8827384114265442,-0.15549278259277344
scissors,0.0,0.0,0.0,-0.013052773661911488,-0.22388270497322083,-0.00484302407130599,-0.12141893804073334,-0.36146873235702515,-0.03003654256463051,-0.2615059018135071,-0.3402200937271118,-0.05609753727912903,-0.35487622022628784,-0.27922719717025757,-0.08521018177270889,-0.17771019041538239,-0.4351491332054138,-0.09299175441265106,-0.3264179229736328,-0.6489043831825256,-0.13787774741649628,-0.41642266511917114,-0.7682364583015442,-0.15702639520168304,-0.49057215452194214,-0.8557217121124268,-0.16455799341201782,-0.25055304169654846,-0.33272746205329895,-0.10637251287698746,-0.4484659433364868,-0.486249715089798,-0.14254483580589294,-0.5716356635093689,-0.5668657422065735,-0.15559183061122894,-0.6663288474082947,-0.6159136891365051,-0.162221297621727,-0.29626885056495667,-0.21176663041114807,-0.11132587492465973,-0.4024270176887512,-0.2883664667606354,-0.13662299513816833,-0.33790233731269836,-0.2728860378265381,-0.11964554339647293,-0.2798125445842743,-0.2365076094865799,-0.09832500666379929,-0.3196192681789398,-0.09238092601299286,-0.11590936034917831,-0.36009588837623596,-0.1529877632856369,-0.12310606241226196,-0.3079768121242523,-0.1435147225856781,-0.0967891737818718,-0.2641284465789795,-0.1182902380824089,-0.06952927261590958
scissors,0.0,0.0,0.0,-0.05535494536161423,-0.1143304780125618,-0.09125517308712006,-0.05835016816854477,-0.2846812605857849,-0.12011159211397171,0.03658667579293251,-0.4283159375190735,-0.14119036495685577,0.1166001483798027,-0.5247140526771545,-0.15635019540786743,-0.12218080461025238,-0.5262434482574463,-0.03918701410293579,-0.15460625290870667,-0.7393046021461487,-0.07398044317960739,-0.1688002049922943,-0.867620050907135,-0.09763368219137192,-0.1835595965385437,-0.9756504893302917,-0.11151009798049927,-0.030620452016592026,-0.5319751501083374,-0.024046236649155617,-0.02218259871006012,-0.7629820108413696,-0.057245735079050064,0.0022157803177833557,-0.8925248384475708,-0.08043835312128067,0.02026122435927391,-0.9959085583686829,-0.08806662261486053,0.04743696004152298,-0.47368690371513367,-0.02164352498948574,0.10322706401348114,-0.5554695129394531,-0.0943683534860611,0.10576290637254715,-0.43062734603881836,-0.11693703383207321,0.0947413370013237,-0.3375953733921051,-0.10658418387174606,0.1083519235253334,-0.3831966817378998,-0.025940466672182083,0.15988145768642426,-0.42363327741622925,-0.09203573316335678,0.1514890491962433,-0.32546040415763855,-0.10173951834440231,0.13341723382472992,-0.24693013727664948,-0.09049786627292633
scissors,0.0,0.0,0.0,-0.11170479655265808,-0.22517256438732147,-0.026217184960842133,-0.3131645917892456,-0.27391061186790466,-0.05900182947516441,-0.4872320294380188,-0.1738496571779251,-0.08388862758874893,-0.5993790030479431,-0.0922728180885315,-0.10646720975637436,-0.3445017337799072,-0.3123631477355957,-0.12974326312541962,-0.6049649119377136,-0.39537960290908813,-0.17813590168952942,-0.7452560067176819,-0.4354056715965271,-0.1959666609764099,-0.8647186160087585,-0.45923087000846863,-0.20339326560497284,-0.37518569827079773,-0.13319654762744904,-0.12835748493671417,-0.6602888107299805,-0.13470390439033508,-0.17623364925384521,-0.8233000040054321,-0.1416296511888504,-0.1911384016275406,-0.9550420641899109,-0.12968547642230988,-0.1994664967060089,-0.38143593072891235,0.024990340694785118,-0.11622312664985657,-0.5956769585609436,-0.012424344196915627,-0.14867079257965088,-0.5306965708732605,-0.08261651545763016,-0.12018946558237076,-0.462485671043396,-0.09304135292768478,-0.09023144096136093,-0.3689470887184143,0.13528266549110413,-0.10488075762987137,-0.4838702082633972,0.04071252420544624,-0.11876966804265976,-0.4340210556983948,-0.012266822159290314,-0.08842936158180237,-0.3822205066680908,-0.012366940267384052,-0.05751009285449982
scissors,0.0,0.0,0.0,0.015014441683888435,-0.1968621015548706,-0.08273806422948837,0.1025255098938942,-0.3325451612472534,-0.1256794035434723,0.2732871472835541,-0.3105611801147461,-0.1667468249797821,0.3966594338417053,-0.22800064086914062,-0.19994749128818512,0.3033764660358429,-0.48451605439186096,-0.05064094439148903,0.44046148657798767,-0.6408520936965942,-0.10436180233955383,0.5243370532989502,-0.7104537487030029,-0.15525373816490173,0.6052048802375793,-0.7649714946746826,-0.19830451905727386,0.39020317792892456,-0.35847988724708557,-0.05475497990846634,0.5882095098495483,-0.44955575466156006,-0.10886889696121216,0.7051090002059937,-0.4840036928653717,-0.16598528623580933,0.8239511251449585,-0.525187611579895,-0.21279661357402802,0.4114909768104553,-0.22274312376976013,-0.06863495707511902,0.5853424072265625,-0.27643463015556335,-0.13971687853336334,0.4689525067806244,-0.22697745263576508,-0.1475684493780136,0.37287941575050354,-0.1937694102525711,-0.14112551510334015,0.38755643367767334,-0.060655828565359116,-0.09184607118368149,0.5091493725776672,-0.08716536313295364,-0.1533403992652893,0.4315425753593445,-0.07994561642408371,-0.15404555201530457,0.343871146440506,-0.0733715295791626,-0.1456613838672638
scissors,0.0,0.0,0.0,0.048567451536655426,-0.2971203327178955,-0.002066562185063958,0.18932907283306122,-0.45560771226882935,0.012426063418388367,0.3106635808944702,-0.4043310284614563,0.02930949255824089,0.3794293999671936,-0.3062615990638733,0.04618488997220993,0.4340839385986328,-0.38286975026130676,0.006645448040217161,0.6390424966812134,-0.48069024085998535,0.03759264573454857,0.7503368854522705,-0.5185103416442871,0.06286579370498657,0.8396580219268799,-0.53682541847229,0.08241945505142212,0.46990278363227844,-0.20457282662391663,0.026875562965869904,0.650277316570282,-0.28961822390556335,0.0849902331829071,0.7444584369659424,-0.32810717821121216,0.12058068066835403,0.7982150316238403,-0.3349402844905853,0.14213956892490387,0.448020339012146,-0.04875659570097923,0.04626655578613281,0.46576979756355286,-0.16837093234062195,0.09175242483615875,0.3957193195819855,-0.19746451079845428,0.0796506404876709,0.32741352915763855,-0.17454347014427185,0.07140233367681503,0.4149210751056671,0.05020701885223389,0.06603874266147614,0.4156995713710785,-0.04697486013174057,0.09805082529783249,0.354190856218338,-0.07042545825242996,0.09450937062501907,0.2935502529144287,-0.047622162848711014,0.0923619419336319
rock,0.0,0.0,0.0,-0.18208877742290497,-0.271664559841156,-0.034395117312669754,-0.2650412917137146,-0.5807023048400879,-0.07930538058280945,-0.2830502390861511,-0.8105266094207764,-0.13621678948402405,-0.1982520967721939,-0.9655399322509766,-0.16860832273960114,0.14598332345485687,-0.8476495742797852,0.058628011494874954,-0.12418357282876968,-0.9648407101631165,-0.05359290540218353,-0.1545400470495224,-0.7482786774635315,-0.13035531342029572,-0.08044420182704926,-0.6611101031303406,-0.17521335184574127,0.21947364509105682,-0.8357976675033569,0.022278686985373497,-0.12035194039344788,-0.9322402477264404,-0.09416121244430542,-0.134992316365242,-0.6820070743560791,-0.11659490317106247,-0.030015423893928528,-0.6119593381881714,-0.10883425176143646,0.2491692155599594,-0.794855535030365,-0.03666076064109802,-0.09655801206827164,-0.8537908792495728,-0.1361318826675415,-0.10522246360778809,-0.6103925108909607,-0.10095887631177902,-0.0011155398096889257,-0.5442057251930237,-0.058396290987730026,0.23329000174999237,-0.7235033512115479,-0.1070217415690422,-0.06218789890408516,-0.7204856872558594,-0.18232271075248718,-0.06121275946497917,-0.5335583686828613,-0.1773172914981842,0.039188120514154434,-0.4632423222064972,-0.15301910042762756
rock,0.0,0.0,0.0,-0.20379333198070526,-0.15074999630451202,-0.11088823527097702,-0.33584707975387573,-0.4624972641468048,-0.12720708549022675,-0.2904295027256012,-0.7694094777107239,-0.13865239918231964,-0.22844937443733215,-0.9532618522644043,-0.12348729372024536,-0.503169059753418,-0.5615667104721069,0.03588344156742096,-0.49266842007637024,-0.8658708333969116,-0.08686497807502747,-0.4024008512496948,-0.676919162273407,-0.14934282004833221,-0.3892539143562317,-0.5655997395515442,-0.1686280220746994,-0.3417443037033081,-0.6231851577758789,0.04608500003814697,-0.31269899010658264,-0.90348219871521,-0.08188106119632721,-0.24597668647766113,-0.6425451040267944,-0.11590734869241714,-0.28216907382011414,-0.5775349140167236,-0.10078120231628418,-0.18078875541687012,-0.653069257736206,0.024306107312440872,-0.13723649084568024,-0.8633872270584106,-0.11464835703372955,-0.10386671870946884,-0.5962355732917786,-0.1051788255572319,-0.16175709664821625,-0.5258383750915527,-0.058244891464710236,-0.03493252769112587,-0.6417319178581238,-0.007712937891483307,-0.006942395586520433,-0.8089701533317566,-0.09003109484910965,0.013526574708521366,-0.6062678694725037,-0.06818249076604843,-0.023605870082974434,-0.5091526508331299,-0.02779671549797058
rock,0.0,0.0,0.0,-0.1960003525018692,0.042175814509391785,-0.30425214767456055,-0.27549442648887634,-0.010945686139166355,-0.5020432472229004,-0.07098954916000366,-0.00765151297673583,-0.6355319023132324,0.13186803460121155,-0.03910178318619728,-0.7326693534851074,-0.29624471068382263,-0.8374101519584656,-0.42510998249053955,-0.07593780010938644,-0.4862791895866394,-0.6215391159057617,-0.12465281784534454,-0.3375283479690552,-0.7357658743858337,-0.207956463098526,-0.3786737620830536,-0.8226926922798157,-0.05523344501852989,-0.9335395097732544,-0.35419386625289917,0.18961216509342194,-0.45136573910713196,-0.5475731492042542,0.11283134669065475,-0.2525538504123688,-0.6002167463302612,0.026583123952150345,-0.3179227411746979,-0.6393494009971619,0.1525907665491104,-0.8882275223731995,-0.304032564163208,0.3803522288799286,-0.4050511419773102,-0.45981112122535706,0.28164488077163696,-0.23611494898796082,-0.431520938873291,0.17496517300605774,-0.32582196593284607,-0.41281992197036743,0.31160926818847656,-0.7620422840118408,-0.285271555185318,0.47734275460243225,-0.373955637216568,-0.4251212179660797,0.4025072753429413,-0.23344245553016663,-0.4480816125869751,0.3116368353366852,-0.30551794171333313,-0.45140883326530457
